                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8557,                 2.9424,                 1.0815,                 0.0409,                0.22931,                0.08186,                0.04169,                 1.7765,                    inf,                  1.023,              0.0033007,              0.0033007,              0.0033007
                      2,                 1.7721,                 1.7245,                 1.0304,                0.28997,                0.17439,                0.12621,                0.06622,                 1.7553,                 1.5791,                 1.0353,              0.0065683,              0.0065683,              0.0065683
                      3,                 1.7736,                  1.589,                 1.0192,                0.19059,                0.18096,                0.12946,                0.06751,                 1.7939,                 1.5962,                 1.0316,                0.00977,                0.00977,                0.00977
                      4,                 1.7405,                 1.5107,                 1.0108,                0.23473,                0.20704,                  0.162,                 0.0883,                 1.7867,                 1.9438,                 1.0365,               0.009703,               0.009703,               0.009703
                      5,                 1.6773,                 1.4183,                0.99391,                  0.241,                0.21312,                0.16154,                0.08572,                 1.7735,                 1.5313,                 1.0159,               0.009604,               0.009604,               0.009604
                      6,                 1.6554,                 1.3675,                0.98452,                0.23971,                 0.1967,                 0.1665,                 0.0908,                 1.7796,                 1.5629,                 1.0172,               0.009505,               0.009505,               0.009505
                      7,                 1.6152,                 1.3216,                0.97628,                0.28716,                0.23353,                0.19744,                 0.1071,                 1.7067,                 1.3792,                 1.0008,               0.009406,               0.009406,               0.009406
                      8,                 1.5971,                 1.2923,                0.97405,                 0.3219,                0.25618,                0.22538,                0.12598,                  1.604,                 1.3237,                0.97356,               0.009307,               0.009307,               0.009307
                      9,                 1.5824,                 1.2678,                0.96984,                0.30885,                0.25028,                0.22184,                0.12256,                 1.6106,                 1.2822,                0.98778,               0.009208,               0.009208,               0.009208
                     10,                  1.563,                  1.237,                0.96361,                0.33477,                0.24915,                0.22921,                0.13062,                 1.5949,                 1.2599,                0.97552,               0.009109,               0.009109,               0.009109
                     11,                 1.5589,                 1.2185,                0.95852,                0.34128,                0.25977,                0.23534,                0.13193,                 1.5637,                 1.2272,                0.96718,                0.00901,                0.00901,                0.00901
